phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,F1_df,F2_df,F3_df,F4_df,F1_lm,F2_lm,F3_lm,F4_lm,speaker,lesson,environment,vowel_length,is_outlier
e,TRUE,é,51.48311980013465,0.10573749860163416,d,340.8698340890281,2099.77066667583,2494.7343810091197,3484.40305972418,0.32889644561276404,2.0260141549846042,2.407104380047777,3.3620099721884134,-1.5581808682657945,0.2599018569408491,0.4322559875385341,0.7663704656027948,LL,6,elsewhere,short,FALSE
uː,TRUE,bût,51.92400113802448,0.2381715939125613,t,338.864032483673,670.7046355783002,2445.05473374471,3558.56434821344,0.3269610997633177,0.6471454750087772,2.3591697792984108,3.433566272414763,-1.5640826116566329,-0.8813526998280112,0.4121412331856913,0.7874309150735348,LL,6,elsewhere,long,FALSE
uː,TRUE,ranûc',52.6470035275665,0.21548577476752942,ts,307.211070880648,632.7095134017,2484.33040071086,3301.91950432807,0.296419979595925,0.6104849689012091,2.397065849799221,3.1859363313132723,-1.6621465158152695,-0.9396701422258031,0.4280768913040589,0.7125776918671525,LL,6,elsewhere,long,FALSE
a,TRUE,socuànt,53.90931688053919,0.07595228772793662,n,797.034949732592,1572.1658272473298,2282.8207619081,3760.6525802912,0.7690383125182371,1.516941954917745,2.2026344354264555,3.628555956404174,-0.7087830250243385,-0.029472098965878324,0.3434855790896503,0.8426662254501016,LL,6,prenasal,short,FALSE
e,TRUE,péss,54.25340858533617,0.046167076854231916,sː,460.418397394053,1583.7193791312402,1811.7537120182099,2463.49420185127,0.4442457479475253,1.5280896769183614,1.7481140793845937,2.376961542935828,-1.2575459188255804,-0.02215015742199533,0.11236900238276704,0.419654473896494,LL,6,elsewhere,short,FALSE
o,TRUE,róss,54.585623762741854,0.13701197001901733,sː,562.8341046897909,1150.2742222122297,1678.6058131351,3323.6827347260096,0.5430640027059908,1.1098697078216064,1.6196431315211786,3.2069351068196568,-1.056696632817574,-0.341925907433148,0.0360373002657246,0.7191471501242939,LL,6,elsewhere,short,FALSE
ɛː,TRUE,sgnèra,56.341543522324194,0.06403820337845191,r,505.909703164676,1826.8041989316398,2487.88276764429,3599.06005420481,0.4881391268210973,1.7626359031294185,2.4004934363471477,3.4726395268690204,-1.163323353343129,0.12064182536325685,0.42950577917252364,0.7987464398360986,LL,6,prerhotic,long,FALSE
oː,TRUE,rôSa,56.618364570673734,0.14018970045698612,z,479.840647947808,943.6158462903501,2345.90259241925,3154.9925765187204,0.4629857728312238,0.9104704107894717,2.2635004545428474,3.044170356478793,-1.2162274891212075,-0.5399624136294756,0.3707439531811305,0.667059867584249,LL,6,elsewhere,long,FALSE
ɛː,TRUE,sgnèr,57.31399310039223,0.08042006935899337,r,486.4581120261859,1801.1493655154497,2483.8423509142604,3730.8423361684604,0.46937079196958553,1.7378822209917122,2.3965949432321656,3.599792826451592,-1.2025307572087893,0.10649872204172972,0.42788042076143906,0.8347077600713275,LL,6,prerhotic,long,FALSE
ɛː,TRUE,mèver,57.59592695596948,0.19267664503749418,v,653.277954790827,1783.91433208073,2456.6340139847603,3633.88042074807,0.6303309235388715,1.721252585072636,2.3703423259213308,3.5062367937601135,-0.9076788575737789,0.0968837373904563,0.4168658505065306,0.8083747882693624,LL,6,elsewhere,long,FALSE
ɛː,TRUE,pièS,58.73816389010026,0.30073220774300324,z,576.1119860403261,1870.9065524906205,2451.5511226996805,3827.6211553030403,0.5558754854032788,1.8051891181050732,2.3654379761962616,3.6931721942945397,-1.0333794924547437,0.1444968253429355,0.4147946600519763,0.8603172264686956,LL,6,elsewhere,long,FALSE
ɛː,TRUE,stèr,59.629399557496875,0.16679718089271495,r,546.1132789625672,1823.1652068370497,2467.9520448563703,3580.9750245920804,0.5269305124424961,1.759124734214392,2.381262799817052,3.455189751724427,-1.0868551296091118,0.11864783971803394,0.42146239960279885,0.7937088410889723,LL,6,prerhotic,long,FALSE
ɛː,TRUE,sgnèra,6.634877818758362,0.20253943394115484,r,488.004059405888,1625.14841732479,2098.7999522575706,3068.06796677004,0.4708624364257376,1.5680634793624204,2.025077537865862,2.960299059216535,-1.1993578301891379,0.0036728698691232964,0.2594394546026928,0.6391217612246427,LL,6,prerhotic,long,FALSE
aː,TRUE,canpâgna,60.45018802060207,0.23679242644590917,ɲ,843.1584383975121,1322.2036006277701,2505.1727638712305,3669.3353435130207,0.81354166823962,1.2757598975722027,2.4171761044362623,3.540446327460951,-0.6525266682156161,-0.20262653635697703,0.43643142429169934,0.8180842648748898,LL,6,prenasal,long,FALSE
oː,TRUE,rôSa,7.013100785813667,0.2412602080769642,z,456.51292626279195,881.0631867943499,2551.8379583848205,3270.25799399676,0.4404774603343142,0.8501149750354042,2.462202138055123,3.155386962700091,-1.2660645388089833,-0.6085522094245759,0.45488759205564033,0.7029426035634154,LL,6,elsewhere,long,FALSE
ɛː,TRUE,sgnèr,8.122902381069544,0.15339383599954992,r,448.07388206174005,2032.2414296842999,2467.76523168508,3662.14143070594,0.4323348458682595,1.9608569489185037,2.381082548642303,3.5335051079229407,-1.2847234203280422,0.22721306099920824,0.4213867011132324,0.8161217911912244,LL,6,prerhotic,long,FALSE
ɛː,TRUE,mèver,8.511257500397013,0.21525901368570644,v,586.025150642299,1853.9238693971602,2411.6007778101202,3631.9088600423397,0.5654404403400409,1.7888029684731048,2.326890926498257,3.504334486064986,-1.0163188466215534,0.13537812792774329,0.39836447468148517,0.8078320913432817,LL,6,elsewhere,long,FALSE
aː,TRUE,canpâgna,9.854898144582119,0.15786161763060488,ɲ,803.2319455168551,1427.80730210702,2445.2036992570897,3783.3744540101,0.7750176327252257,1.3776541650802077,2.3593135122505258,3.6504797019411774,-0.7010380335109776,-0.12578636317049074,0.41220215655588355,0.8486900486213456,LL,6,prenasal,long,FALSE
ɛː,TRUE,sètma,0.50616722287512,0.15914828977456824,t,649.064851523488,1817.9251738031803,2455.14819735025,3381.611352084151,0.6262658096711966,1.7540687624991507,2.3689087000587525,3.2628289244678865,-0.9141489174446491,0.11576956090391022,0.4162608494637716,0.7364260518002288,LL,7,elsewhere,long,FALSE
ɑ,TRUE,leziån,1.3171885923343576,0.1132633699333159,n,676.6388897356061,1754.8827281259698,2489.99897533506,3603.4581352877603,0.6528712826470997,1.693240744785636,2.4025353101595743,3.47688312102444,-0.8725438215890255,0.08047575762428583,0.4303560234842694,0.7999677020429763,LL,7,prenasal,short,FALSE
ɛː,TRUE,marchè,10.83622158369285,0.2109117154859224,NA,577.011247116664,1925.0206564241603,2449.08192949628,3581.8332623633705,0.5567431590490735,1.857402410867766,2.363055515834816,3.456017843049147,-1.0318197957410193,0.17301042281189005,0.41378695619574035,0.7939484783209112,LL,7,elsewhere,long,FALSE
o,TRUE,carólla,11.888003571812655,0.0847652546310478,lː,599.518161940678,1101.1874625419598,2570.1062893901794,3950.0658484187593,0.57845949633398,1.0625071689059946,2.4798287759504865,3.8113158970294303,-0.9935552853066092,-0.38553716652756975,0.46202098031105177,0.8918059737796034,LL,7,prelateral,short,FALSE
e,TRUE,léssta,13.230298389960245,0.0713488323664979,sː,488.251688867891,1749.37900892066,2507.58787973246,3802.69853743093,0.47110136765912014,1.6879303491353,2.4195063869754145,3.669125007909131,-1.1988505256887505,0.0773345974349624,0.43739501151231863,0.8537846806501816,LL,7,elsewhere,short,FALSE
o,TRUE,lónga,13.751177551773209,0.113500362507013,ŋ,539.3396979473571,981.6840712910802,2491.18975860631,3267.3068667047496,0.5203948601283908,0.9472014519125093,2.403684265996209,3.1525394966593163,-1.0993359446904103,-0.5004120175336331,0.43083413558061334,0.7020397819301794,LL,7,prenasal,short,FALSE
eː,TRUE,invêzi,14.522999970177446,0.2072879965489385,θ,372.061801671517,2170.4456893170295,2545.96384231205,3691.115917880461,0.3589927646283967,2.094206647882703,2.4565343560919164,3.5614618377128338,-1.470621580462291,0.2930062577651942,0.4525830227913854,0.8240025536232372,LL,7,elsewhere,long,FALSE
e,TRUE,deléNna,15.255266458649277,0.06692804653942551,ŋː,520.12598175555,1932.15086212419,2462.60145535031,4046.16137894678,0.5018560446318945,1.8642821610735738,2.3761001550345378,3.9040359774507567,-1.1356104996233434,0.17670754324714188,0.41929201787742443,0.9158423485170415,LL,7,prenasal,short,FALSE
oː,TRUE,prôva,15.781440550907313,0.0896482348081342,v,447.9888719604989,903.2593904553601,2601.61990999448,3168.7626452940494,0.4322528218305088,0.8715315151927728,2.510235449608903,3.0574567380330673,-1.2849131617297784,-0.5836717881915616,0.474208017842491,0.6714149034944965,LL,7,elsewhere,long,FALSE
ɛː,TRUE,fèr,16.137427737641676,0.11460551362754855,r,584.4355253034119,1629.8527000022,2217.0049714594898,3872.3946500771603,0.563906652156017,1.572602519479868,2.1391304894067305,3.7363729759894775,-1.0190350870709857,0.006563367158181066,0.3142308975778949,0.8719468128303616,LL,7,prerhotic,long,FALSE
oː,TRUE,incôsa,16.586495895406244,0.18898859410730043,s,436.57694620213994,835.0763367235701,2516.2803769322604,3197.9939151951003,0.4212417511983662,0.8057434583430346,2.4278935516541362,3.0856612308034426,-1.310716914759121,-0.6621584125643531,0.44085549472169117,0.6805974362390019,LL,7,elsewhere,long,FALSE
æ,TRUE,mänt,17.1869492021065,0.14364879640642067,n,760.706835143988,1606.7641905536598,2383.1098448275598,3393.8857376741807,0.7339862587161265,1.5503250166541465,2.299400765583319,3.274672160181103,-0.755433507164943,-0.007703938413254008,0.386480016759732,0.7400492247881205,LL,7,prenasal,short,FALSE
e,TRUE,cunbéNna,18.318305561794773,0.05415462638162438,ŋː,433.26400121158497,1783.92446119768,2258.7413702012004,3433.1755639341104,0.4180451766618833,1.721262358394382,2.179400856057129,3.312581892616561,-1.3183343096858096,0.09688941540313412,0.33288146682855224,0.7515593777792047,LL,7,prenasal,short,FALSE
