phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
ɑ,1,staziån,15.77913136,0.06510679503,n,661.8682519,1688.366234,2488.955799,3662.722076,LL,2
n,0,staziån,15.8746501,0.125930686,NA,513.3744589,1478.710421,2208.783632,4703.283013,LL,2
e,0,e,16.68634126,0.07361004401,a,364.0934113,2221.258869,2772.346732,3897.890184,LL,2
a,0,a,16.75693027,0.06756797579,m,580.0822462,1848.31751,2333.824018,3622.969894,LL,2
m,0,man,16.86037992,0.1393313203,a,252.2411984,1349.905641,2258.173543,3602.398014,LL,2
a,0,man,16.97075218,0.08141320282,n,848.6638171,1528.567288,2503.436207,3601.78045,LL,2
n,0,man,17.05243858,0.08195960016,s,672.1595127,856.9123963,2246.464452,3703.295056,LL,2
s,0,stanca,17.139978,0.09311924278,t,1534.596235,1940.23136,3279.100011,3807.734798,LL,2
t,0,stanca,17.24530302,0.1175307961,a,1549.448292,1750.198097,2957.512497,3866.705117,LL,2
a,0,stanca,17.39044294,0.1727490347,n,767.2400736,1566.959619,2405.704168,3500.625299,LL,2
n,0,stanca,17.53185004,0.1100651654,k,360.0437418,820.0647713,2043.26793,2507.774117,LL,2
k,0,stanca,17.63562577,0.09748628934,a,1652.437263,1915.000755,2430.678613,3971.254384,LL,2
a,0,stanca,17.73782913,0.1069204464,a,503.7185918,1778.232164,2239.285216,3629.13143,LL,2
a,0,ai,17.86118057,0.139782416,i,597.6113182,2181.999034,3438.696472,3552.978816,LL,2
i,0,ai,17.96427236,0.0664011754,e,357.9198939,2165.707471,3154.814762,4028.202874,LL,2
e,1,é,18.0321867,0.06942750082,p,400.9167589,1215.265886,2278.472666,3417.223351,LL,2
p,0,pôrta,18.12485366,0.1159064246,o:,427.6210896,1561.333383,2619.106462,3698.247903,LL,2
oː,1,pôrta,18.25828013,0.1509465125,r,400.4294328,797.7703261,2926.639652,3354.480445,LL,2
r,0,pôrta,18.37070384,0.07390089676,t,366.7480597,1106.306395,1598.59429,3266.713472,LL,2
t,0,pôrta,18.46111451,0.1069204464,a,282.5630137,1165.194347,3149.041749,3811.78572,LL,2
a,0,pôrta,18.54916664,0.06918381824,g,375.4233283,1658.392036,2188.577014,3663.825924,LL,2
g,0,Galîra,18.6089163,0.05031550417,a,225.9224251,1675.112759,2265.389436,3761.118009,LL,2
a,0,Galîra,18.66981848,0.07148885246,l,481.4969727,1547.823912,2399.875594,3716.468911,LL,2
l,0,Galîra,18.74369544,0.07626507062,i:,255.5913993,1483.992181,2502.421394,3580.183597,LL,2
iː,1,Galîra,18.91586881,0.2680816611,r,275.69155,2318.035953,2654.187486,3144.189861,LL,2
r,0,Galîra,19.06406087,0.0283024711,a,401.0555689,1311.393825,2072.801727,3407.908972,LL,2
a,0,Galîra,19.15289918,0.149374153,NA,498.1857647,1517.347645,2066.909321,3692.243515,LL,2
d,0,d'ed,20.27101845,0.116250565,e,223.591686,1359.751502,2572.713896,3833.997658,LL,2
e,0,d'ed,20.37636653,0.09444560869,d,414.123377,1860.11633,2711.667154,3593.904535,LL,2
d,0,d'ed,20.48412518,0.1210716819,l,236.9656417,1419.09461,2548.674147,3786.483993,LL,2
l,0,lé,20.57925293,0.06918381824,e,305.5520648,1525.222872,2602.709861,3603.370331,LL,2
e,1,lé,20.70032461,0.1729595456,NA,467.4969387,1338.012917,2153.122604,3483.522571,LL,2
ai,0,ai,21.09722087,0.215164219,e,303.4613809,2181.019241,2885.220577,3163.911492,LL,2
e,1,é,21.27568367,0.1417613887,g,386.3238129,2167.601514,2518.919554,4031.389815,LL,2
g,0,galîra,21.46089109,0.2286534486,a,254.0469506,1910.609782,2415.822462,NA,LL,2
a,0,galîra,21.6302504,0.1100651654,l,499.6406842,1549.701051,2358.178011,3169.122188,LL,2
l,0,galîra,21.6962895,0.02201303308,i:,229.4834678,1823.072446,2427.137677,3530.087716,LL,2
iː,1,galîra,21.77333512,0.1320781985,r,315.5341844,2219.829249,2397.555301,3191.324956,LL,2
r,0,galîra,21.85038073,0.02201303308,a,476.2177635,1343.265366,2196.118664,3797.255545,LL,2
a,0,galîra,21.90148241,0.08019033478,v,626.8103218,1447.103209,2066.926583,3670.76752,LL,2
v,0,vècia,21.96516297,0.04717078516,ɛ:,414.5940848,1252.033909,2148.31525,3472.147193,LL,2
ɛː,1,vècia,22.07994522,0.1823937026,ts,614.4965076,1836.344878,2253.778851,4447.832143,LL,2
ts,0,vècia,22.24504297,0.1478017935,a,1153.586691,2003.957135,2936.887709,3722.294907,LL,2
a,0,vècia,22.3794797,0.1210716819,e,543.7022323,1474.449062,1671.48392,3861.584706,LL,2
e,0,e,22.53907419,0.1981172977,g,537.9872429,2239.110359,2908.163412,3935.862084,LL,2
g,0,galîra,22.6705048,0.0647439138,a,257.2520857,2134.35254,2384.519196,3889.245535,LL,2
a,0,galîra,22.73982721,0.07390089676,l,545.508202,1525.452571,2317.897729,3172.19945,LL,2
l,0,galîra,22.8044523,0.05534929704,i:,269.8450813,1749.243008,2400.072943,3240.357975,LL,2
iː,1,galîra,22.89131819,0.1183824685,r,315.4507205,2125.386684,2449.737225,3675.023848,LL,2
