phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
n,0,sänper,21.94581110816323,0.18066746144213752,p,495.584522816041,764.96060941032,"2,206.21870691808","3,121.09146175828",LL,10
p,0,sänper,22.06926720681536,0.06624473586211721,e,640.159033017019,"1,250.42794095264","2,752.61985229327","4,010.27964651888",LL,10
e,0,sänper,22.13049340208186,0.05620765467088873,r,482.503569658527,"1,564.85911582489","2,302.16539302410","3,613.86100337058",LL,10
r,0,sänper,22.178671391799767,0.04014832476491747,t,424.747485856151,"1,270.20461139030","2,159.74825102386","3,784.96074870323",LL,10
t,0,tränta,22.262027986411816,0.12656486445917992,r,430.000139293747,"1,395.30514746405","2,161.56329163248","3,499.68126389515",LL,10
r,0,tränta,22.35441795409597,0.05821507090913158,æ,496.377551196638,"1,291.49556351587","2,136.61952033945","3,910.31247575821",LL,10
æ,1,tränta,22.418655273719843,0.07025956833861002,n,744.103592672414,"1,490.94030755297","2,650.62326106584","3,967.87278392802",LL,10
n,0,tränta,22.5651966591118,0.2228232024453014,t,363.550444574094,875.01502023286,"2,297.70349353702","3,008.59882970691",LL,10
t,0,tränta,22.69066017400217,0.02810382733544614,a,613.308679905829,"1,608.78067377916","2,553.23617711584","3,607.31875364792",LL,10
a,0,tränta,22.71675658509937,0.02408899485894977,i,407.315384742923,"1,767.01723675151","2,388.86579464707","3,535.14438584155",LL,10
i,0,i,22.755901201745164,0.05420023843264232,d,348.375160743762,"1,999.11583788384","2,525.84868839097","3,691.59168428026",LL,10
d,0,dé,22.839208975632378,0.1124153093417739,e,229.773814204484,"1,539.75272042068","2,433.72734062044","3,775.89244000105",LL,10
e,1,dé,22.91950562516221,0.0481779897179031,e,417.185176853888,"1,845.76588194533","2,524.79181417000","3,716.95704998708",LL,10
e,0,ed,22.96969103111836,0.05219282219439591,d,370.137855824197,"1,674.77932317033","2,538.08898691458","3,737.10000801600",LL,10
d,0,ed,23.062032178077672,0.13248947172423087,n,228.568208580350,"1,252.11931911771","2,470.97191734872","3,779.98851573570",LL,10
n,0,nuvàmmber,23.169280539935073,0.08200725199056436,u,285.185685065624,952.78262241908,"2,345.95061709218","3,051.38887964765",LL,10
u,0,nuvàmmber,23.240395409504043,0.06022248714737799,v,352.712672696512,922.39449588924,"2,553.86825491196","3,433.28443717729",LL,10
v,0,nuvàmmber,23.29058081546019,0.04014832476491747,a,367.571851544326,"1,063.88936049111","2,294.46805207501","3,479.24756659449",LL,10
a,1,nuvàmmber,23.361844091917924,0.10237822815054544,mː,806.644412811891,"1,279.10818579328","2,457.57073520836","3,800.79676960731",LL,10
mː,0,nuvàmmber,23.504370644833383,0.18267487768038393,b,261.925881480710,"1,226.66784435143","2,333.29187797173","3,310.62429001435",LL,10
b,0,nuvàmmber,23.63192359207482,0.07243101680248643,e,197.026368089022,"1,220.38837997616","2,399.67423980799","3,707.34645413989",LL,10
e,0,nuvàmmber,23.713305965836597,0.09033373072106698,r,505.228943586737,"1,535.96932477593","2,539.45480045687","3,684.18408686207",LL,10
r,0,nuvàmmber,23.796613739723806,0.07628181705334924,NA,430.896764837664,"1,512.44898975822","2,379.92758579248","2,438.74065408522",LL,10
k,0,quî,24.329383578650244,0.06624473586211721,w,702.644101596346,"1,218.34072993085","2,284.52292532099","3,762.03483789678",LL,10
w,0,quî,24.40064685510798,0.07628181705334569,iː,283.208298431447,"1,806.37949119590","2,292.69739229465","3,441.23770384869",LL,10
iː,1,quî,24.473917547803957,0.07025956833861002,d,221.581176829304,"2,034.97425059351","2,642.69650182107","3,562.18290137880",LL,10
d,0,d,24.52989477947326,0.04169489499999557,a,461.869017438040,"1,524.54089728778","2,633.01191612839","3,666.91703129766",LL,10
a,0,avréll,24.587879427380805,0.07427440081509928,v,587.725350885576,"1,326.89244181979","2,534.81906000874","3,554.80848796069",LL,10
v,0,avréll,24.663157536315023,0.07628181705334569,r,421.103337066403,"1,135.17832862714","2,352.97036199714","3,574.76906188565",LL,10
r,0,avréll,24.729402272177147,0.05620765467088873,e,426.145304864597,"1,391.83583617610","2,416.73197526973","2,668.30431138922",LL,10
e,1,avréll,24.817728586659968,0.12044497429475952,lː,462.096815282943,"1,712.59253177057","2,510.81711727993","3,639.31849971792",LL,10
lː,0,avréll,24.938403983956313,0.12090582029792785,NA,313.339184102272,"1,571.09733275553","2,841.57767790819","4,183.98746523535",LL,10
ð,0,Zóggn,25.24408973962251,0.13650430420072368,o,"1,315.832430561940","2,338.14345577222","3,476.74064173354","4,015.89172972373",LL,10
o,1,Zóggn,25.371560670751126,0.11843755805651313,g,526.750928784739,"1,121.42811225275","2,517.51111232200","3,441.82311865615",LL,10
g,0,Zóggn,25.456381819485443,0.05120473941212111,ɲ,373.698560401932,"1,151.28331024148","2,517.11379709458","3,735.24501057652",LL,10
ɲ,0,Zóggn,25.591816024791093,0.21966367119917507,e,451.515386355974,"1,870.77176032830","2,874.94990539587","3,685.08028266712",LL,10
e,0,e,25.734342577706556,0.06538943463175073,s,455.101248382269,"1,770.20241945934","2,517.80361890947","3,415.91751859266",LL,10
s,0,setàmmber,25.80333481953648,0.07259504902810221,e,"1,497.874712798550","2,419.32138214678","3,429.93260135164","3,918.02069829760",LL,10
e,0,setàmmber,25.911899328627385,0.1445339691537093,t,351.545898410634,"1,581.68062997954","2,454.05935045416","3,535.25802339535",LL,10
t,0,setàmmber,25.99420339439547,0.02007416238246051,a,581.406908601602,"1,508.75584676599","2,566.99660753361","3,851.26237971682",LL,10
